internal_energy(kcal/mol),available_energy_above_mecp(kcal/mol),available_energy_above_minima(kcal/mol),nmecp(e),rho_r,k(e)
1.000000,366.220510,180.005060,649.671897,77880.304301,250084713.060926 s-1
314.988390,52.232120,133.983330,23.115042,43224.791680,16031807.396743 s-1
0.000000,367.220510,181.005060,652.334544,78745.764408,248349836.387894 s-1
20.530000,346.690510,160.475060,598.404917,61936.594583,289646666.716190 s-1
1.380000,365.840510,179.625060,648.661043,77552.683369,250750432.839159 s-1
0.000000,367.220510,181.005060,652.334544,78745.764408,248349836.387894 s-1
