internal energy(kcal/mol),available energy above mecp(kcal/mol),available energy above minima(kcal/mol),nmecp(e),rho_r,k(e) s-1
1.0,366.22051,180.00506,649.6718966452449,77880.30430066105,250084713.0609257
314.98839,52.23212000000001,133.98333,23.1150422168202,43224.79167966432,16031807.3967434
0.0,367.22051,181.00506,652.334543764369,78745.76440773117,248349836.38789394
20.53,346.69051,160.47505999999998,598.4049171600084,61936.594583210484,289646666.7161896
1.38,365.84051,179.62506,648.6610429512892,77552.6833691492,250750432.8391586
0.0,367.22051,181.00506,652.334543764369,78745.76440773117,248349836.38789394
